ticker,filing_date,form,accession_number,primary_document,matched_keyword,filing_url,risk_category
KULR,2026-05-14,10-Q,0001104659-26-061180,tmb-20260331x10q.htm,going concern,https://www.sec.gov/Archives/edgar/data/1662684/000110465926061180/tmb-20260331x10q.htm,going_concern
KULR,2026-05-14,10-Q,0001104659-26-061180,tmb-20260331x10q.htm,compliance,https://www.sec.gov/Archives/edgar/data/1662684/000110465926061180/tmb-20260331x10q.htm,delisting_compliance
CXAI,2026-05-13,8-K,0001829126-26-005105,cxapp_8k.htm,warrant,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005105/cxapp_8k.htm,warrants_convertibles
CXAI,2026-05-13,10-Q,0001829126-26-005103,cxappinc_10q.htm,offering,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005103/cxappinc_10q.htm,dilution
CXAI,2026-05-13,10-Q,0001829126-26-005103,cxappinc_10q.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005103/cxappinc_10q.htm,dilution
CXAI,2026-05-13,10-Q,0001829126-26-005103,cxappinc_10q.htm,warrant,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005103/cxappinc_10q.htm,warrants_convertibles
CXAI,2026-05-13,10-Q,0001829126-26-005103,cxappinc_10q.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005103/cxappinc_10q.htm,warrants_convertibles
CXAI,2026-05-13,10-Q,0001829126-26-005103,cxappinc_10q.htm,going concern,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005103/cxappinc_10q.htm,going_concern
CXAI,2026-05-13,10-Q,0001829126-26-005103,cxappinc_10q.htm,compliance,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005103/cxappinc_10q.htm,delisting_compliance
HIVE,2026-05-12,8-K,0001062993-26-002517,form8k.htm,compliance,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002517/form8k.htm,delisting_compliance
LASE,2026-05-12,8-K,0001493152-26-022509,form8-k.htm,offering,https://www.sec.gov/Archives/edgar/data/1807887/000149315226022509/form8-k.htm,dilution
LASE,2026-05-12,8-K,0001493152-26-022509,form8-k.htm,compliance,https://www.sec.gov/Archives/edgar/data/1807887/000149315226022509/form8-k.htm,delisting_compliance
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,reverse split,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,reverse_split
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,offering,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,dilution
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,warrant,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,warrants_convertibles
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,convertible note,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,warrants_convertibles
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,going concern,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,going_concern
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,delisting,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,delisting_compliance
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,compliance,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,delisting_compliance
NOTV,2026-05-11,10-Q,0001628280-26-033620,notv-20260331.htm,dilution,https://www.sec.gov/Archives/edgar/data/720154/000162828026033620/notv-20260331.htm,dilution
PLUG,2026-05-11,10-Q,0001104659-26-058712,plug-20260331x10q.htm,offering,https://www.sec.gov/Archives/edgar/data/1093691/000110465926058712/plug-20260331x10q.htm,dilution
PLUG,2026-05-11,10-Q,0001104659-26-058712,plug-20260331x10q.htm,registered direct,https://www.sec.gov/Archives/edgar/data/1093691/000110465926058712/plug-20260331x10q.htm,other
PLUG,2026-05-11,10-Q,0001104659-26-058712,plug-20260331x10q.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/1093691/000110465926058712/plug-20260331x10q.htm,dilution
PLUG,2026-05-11,10-Q,0001104659-26-058712,plug-20260331x10q.htm,warrant,https://www.sec.gov/Archives/edgar/data/1093691/000110465926058712/plug-20260331x10q.htm,warrants_convertibles
